№;X1;X2;X3;X4;X5;X6;X7;X8
1;6;150;1,8;24;30;120;3,4;15
2;7;150;1,8;24;30;120;9,7;5
3;6;170;1,8;24;30;120;7,4;23
4;7;170;1,8;24;30;120;10,6;8
5;6;150;2,4;24;30;120;6,5;20
6;7;150;2,4;24;30;120;7,9;9
7;6;170;2,4;24;30;120;10,3;13
8;7;170;2,4;24;30;120;9,5;5
9;6;150;1,8;36;30;120;14,3;23
10;7;150;1,8;36;30;120;10,5;1
11;6;170;1,8;36;30;120;7,8;11
12;7;170;1,8;36;30;120;17,2;5
13;6;150;2,4;36;30;120;9,4;15
14;7;150;2,4;36;30;120;12,1;8
15;6;170;2,4;36;30;120;9,5;15
16;7;170;2,4;36;30;120;15,8;1
17;6;150;1,8;24;42;120;8,3;22
18;7;150;1,8;24;42;120;8;8
19;6;170;1,8;24;42;120;7,9;16
20;7;170;1,8;24;42;120;10,7;7
21;6;150;2,4;24;42;120;7,2;25
22;7;150;2,4;24;42;120;7,2;5
23;6;170;2,4;24;42;120;7,9;17
24;7;170;2,4;24;42;120;10,2;8
25;6;150;1,8;36;42;120;10,3;10
26;7;150;1,8;36;42;120;9,9;3
27;6;170;1,8;36;42;120;7,4;22
28;7;170;1,8;36;42;120;10,5;6
29;6;150;2,4;36;42;120;9,6;24
30;7;150;2,4;36;42;120;15,1;4
31;6;170;2,4;36;42;120;8,7;10
32;7;170;2,4;36;42;120;12,1;5
33;6;150;1,8;24;30;130;12,6;32
34;7;150;1,8;24;30;130;10,5;10
35;6;170;1,8;24;30;130;11,3;28
36;7;170;1,8;24;30;130;10,6;18
37;6;150;2,4;24;30;130;8,1;22
38;7;150;2,4;24;30;130;12,5;31
39;6;170;2,4;24;30;130;11,1;17
40;7;170;2,4;24;30;130;12,9;16
41;6;150;1,8;36;30;130;14,6;38
42;7;150;1,8;36;30;130;12,7;12
43;6;170;1,8;36;30;130;10,8;34
44;7;170;1,8;36;30;130;17,1;19
45;6;150;2,4;36;30;130;13,6;12
46;7;150;2,4;36;30;130;14,6;14
47;6;170;2,4;36;30;130;13,3;25
48;7;170;2,4;36;30;130;14,4;16
49;6;150;1,8;24;42;130;11;31
50;7;150;1,8;24;42;130;12,5;14
51;6;170;1,8;24;42;130;8,9;23
52;7;170;1,8;24;42;130;13,1;23
53;6;150;2,4;24;42;130;7,6;28
54;7;150;2,4;24;42;130;8,6;20
55;6;170;2,4;24;42;130;11,8;18
56;7;170;2,4;24;42;130;12,4;11
