Application Number,Application: Buy Rate,Application: Funded Amount,Application: BPA Broker Negotiation,Application: Origination Fee,Application: Remittance Frequency,Primary Contact Gender,Application: Close Date,customer Age,Amount,crime_record,Applications received All Time,Applications received by last 1 Month,Applications received by last 3 Months,Applications received by last 6 Months,Average Daily Negatives,Average Monthly Sales,Avg Daily Bank Balance,Avg Number of Monthly Deposits,Brokers submitted All Time,Brokers submitted last 1 month,Brokers submitted last 3 months,Brokers submitted last 6 months,Credit Score,Daily Bank Balance v/s Daily Payment,Days,Factor Rate,Has Website,Industry,Inquiry Count,Months,Number of Trade Lines,Office Space,Open Bankruptcy,Position,Public Records,Sales to Payment,Satisfactory,Shipping State,Sum of Monthly Personal Debt,Time In Business Actual,Type,Volume - 4 Months Ago,Volume - 6 Months Ago,Volume - Three Months Ago,Yearly Total Sales,Outcome
APP-299936,1.25,9000.0,0,2.0,Daily,,1/3/2017,35.0,9000.0,,1.0,1.0,1.0,1.0,0.0,10724.06,2824.15,3.33,1.0,1.0,1.0,1.0,741.0,30.9225,135.0,1.37,Yes,Healthcare,24.0,6.43,40.0,Rent,0.0,First,0.0,18.0,40.0,NJ,4792.0,24.0,New Deal,0.0,0,11605.73,128688.72,Neg
APP-299718,1.25,9500.0,0,2.0,Daily,Male,1/3/2017,47.0,9500.0,,2.0,2.0,2.0,2.0,0.25,29319.24,2401.76,36.5,1.0,1.0,1.0,1.0,624.0,24.7196,132.0,1.35,Yes,Dentists,18.0,6.29,25.0,Rent,0.0,Second,0.0,18.0,24.0,OH,2867.0,17.7,New Deal,35205.42,29288.31,30209.32,351830.88,Neg
APP-299671,1.25,6000.0,0,2.0,Daily,Male,1/3/2017,58.0,6000.0,,4.0,1.0,3.0,4.0,0.67,11009.45,606.48,46.67,3.0,1.0,2.0,3.0,590.0,10.1844,132.0,1.31,No,Retail,51.0,6.29,20.0,Rent,0.0,Second,0.0,6.5,15.0,NY,1331.0,17.5,New Deal,6299.58,4799.65,9281.73,132113.4,Neg
APP-299367,1.25,15000.0,0,2.0,Daily,Male,1/3/2017,62.0,15000.0,,1.0,1.0,1.0,1.0,0.67,37346.4,1737.83,53.33,1.0,1.0,1.0,1.0,650.0,11.328,132.0,1.35,Yes,Spa/Salon,1.0,6.29,24.0,Own,0.0,First,3.0,0.0,8.0,MN,16491.0,5.1,New Deal,0.0,0,44114.52,448156.8,Pos
APP-299364,1.25,14000.0,0,2.0,Daily,Female,1/3/2017,64.0,14000.0,traffic,1.0,1.0,1.0,1.0,0.67,17122.11,2194.66,7.0,1.0,1.0,1.0,1.0,504.0,15.1043,132.0,1.37,Yes,Contracting,13.0,6.29,24.0,Rent,0.0,First,0.0,0.0,22.0,PA,1373.0,1.5,New Deal,0.0,0,16168.17,205465.32,Pos
APP-299854,1.25,20000.0,0,2.0,Daily,Male,1/3/2017,65.0,20000.0,,2.0,1.0,1.0,1.0,0.2,77820.33,8069.1,25.2,2.0,1.0,1.0,1.0,661.0,39.4481,132.0,1.35,Yes,Advertising,28.0,6.29,23.0,Rent,0.0,Second,0.0,1.87,22.0,MI,4208.0,8.5,New Deal,119675.45,85658.91,73663.96,933843.96,Pos
APP-299927,1.25,9000.0,0,2.5,Daily,Male,1/3/2017,54.0,9000.0,traffic,1.0,1.0,1.0,1.0,0.0,18653.67,2888.67,25.33,1.0,1.0,1.0,1.0,469.0,30.7011,132.0,1.38,No,Auto Repair,8.0,6.29,21.0,Own,0.0,First,0.0,10.6,11.0,PA,2955.0,1.4,New Deal,0.0,0,19320,223844.04,Pos
APP-296935,1.25,30000.0,0,2.0,Daily,Male,1/3/2017,55.0,30000.0,traffic,1.0,1.0,1.0,1.0,0.25,57514.66,9085.47,29.5,1.0,1.0,1.0,1.0,522.0,30.9894,132.0,1.29,No,Auto Repair,12.0,6.29,29.0,Rent,0.0,First,1.0,10.75,27.0,CA,5328.0,15.9,New Deal,66323.0,0,49124.36,690175.92,Pos
APP-299558,1.25,14000.0,0,2.0,Daily,Male,1/3/2017,54.0,14000.0,,1.0,1.0,1.0,1.0,2.0,52173.29,5966,50.8,1.0,1.0,1.0,1.0,704.0,41.0599,132.0,1.37,No,Restaurant,6.0,6.29,20.0,Own,0.0,Second,0.0,12.1,20.0,WI,1902.0,,New Deal,98711.21,100099,74379.36,626079.48,Pos
APP-299226,1.24,8000.0,0,2.0,Daily,Male,1/3/2017,42.0,8000.0,,4.0,1.0,1.0,2.0,0.25,35000.66,4544.5,9.25,2.0,1.0,1.0,2.0,555.0,45.9458,110.0,1.36,No,Construction,7.0,5.24,12.0,Rent,0.0,Second,0.0,12.26,8.0,CA,3716.0,7.7,Parallel,30861.75,35474,62300.72,420007.92,Pos
APP-299951,1.24,111000.0,0,2.0,Daily,Male,1/3/2017,47.0,111000.0,,1.0,1.0,1.0,1.0,0.0,167425,42236.22,14.83,1.0,1.0,1.0,1.0,558.0,42.4621,154.0,1.38,Yes,Real Estate,28.0,7.33,27.0,Rent,0.0,First,0.0,12.5,26.0,FL,5850.0,5.0,New Deal,240279.84,179230.75,340287.35,2009100,Pos
APP-299034,1.25,12800.0,0,2.0,Daily,Female,1/3/2017,39.0,12800.0,traffic,1.0,1.0,1.0,1.0,0.0,22385.96,17263.12,2.75,1.0,1.0,1.0,1.0,633.0,129.9444,132.0,1.37,No,Retail,10.0,6.29,33.0,Rent,0.0,First,0.0,12.5,32.0,MO,2196.0,5.6,New Deal,37885.95,0,12804.71,268631.52,Pos
APP-298944,1.25,14000.0,0,2.0,Daily,Male,1/3/2017,43.0,14000.0,,2.0,1.0,1.0,2.0,0.0,24181.16,7754.07,31.25,2.0,1.0,1.0,2.0,649.0,54.56,132.0,1.34,No,Trucking,24.0,6.29,24.0,Own,0.0,First,0.0,12.65,22.0,TX,8544.0,1.5,New Deal,30124.16,0,22300,290173.92,Pos
APP-297923,1.25,7000.0,0,2.0,Daily,Male,1/3/2017,54.0,7000.0,traffic,2.0,1.0,1.0,1.0,0.0,30140.41,2764.67,17.33,2.0,1.0,1.0,1.0,590.0,38.6181,132.0,1.35,No,Trucking,63.0,6.29,20.0,Own,0.0,Second,0.0,12.7,17.0,AZ,3470.0,1.4,New Deal,13879.21,19827.5,38410.88,361684.92,Pos
APP-297978,1.23,250000.0,0,2.0,Daily,Male,1/3/2017,55.0,250000.0,,4.0,1.0,1.0,2.0,1.33,864938.24,59247.82,74.0,2.0,1.0,1.0,1.0,721.0,24.6322,132.0,1.27,Yes,Transportation,46.0,6.29,47.0,Own,0.0,Third,0.0,12.96,46.0,AZ,13816.0,25.0,New Deal,0.0,0,873730.37,10379258.88,Pos
APP-299637,1.24,15000.0,0,2.0,Daily,Female,1/3/2017,45.0,15000.0,,1.0,1.0,1.0,1.0,2.67,57624.44,4900.03,25.33,1.0,1.0,1.0,1.0,624.0,26.6176,110.0,1.35,Yes,Healthcare,19.0,5.24,30.0,Rent,0.0,First,0.0,13.25,23.0,TX,1456.0,8.1,New Deal,0.0,0,34654.56,691493.28,Pos
APP-299694,1.25,20000.0,0,2.0,Daily,Male,1/3/2017,57.0,20000.0,,1.0,1.0,1.0,1.0,0.5,32797.8,5401.93,4.0,1.0,1.0,1.0,1.0,593.0,26.0234,132.0,1.37,Yes,Healthcare,17.0,6.29,28.0,Rent,0.0,First,1.0,13.3,23.0,AZ,4984.0,1.9,New Deal,17242.82,0,26861.76,393573.6,Pos
APP-299581,1.26,115000.0,0,2.0,Daily,Male,1/3/2017,40.0,115000.0,,3.0,1.0,2.0,3.0,0.0,539524.22,151394.33,3.0,2.0,1.0,2.0,2.0,620.0,147.9833,154.0,1.37,No,Construction,9.0,7.33,7.0,Rent,0.0,Second,1.0,14.43,7.0,NY,5136.0,4.0,Paid Renewal,494761.0,589213,762447.43,6474290.64,Pos
